year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43003616,CEE San Rafael,Corporacions Locals,"ctra. de Valls, 45",43007,431482,Tarragona,Tarragonès,352419,4554433,1.241841,41.1277,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003631,Estela,Fundacions,"ctra. de Valls, s/n (Zona Educacional)",43007,431482,Tarragona,Tarragonès,352350,4554857,1.240923,41.1316,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003641,Institut Antoni de Martí i Franquès,Departament d'Educació i Formació Professional,"c. Enric d'Ossó, 3",43005,431482,Tarragona,Tarragonès,352359,4553477,1.241352,41.11917,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003653,Institut Comte de Rius,Departament d'Educació i Formació Professional,"ctra. de Valls, s/n (Zona Educacional)",43007,431482,Tarragona,Tarragonès,352693,4555082,1.244945,41.13368,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003690,Escola de Pràctiques,Departament d'Educació i Formació Professional,"ctra. Valls, s/n(Zona Educacional)",43007,431482,Tarragona,Tarragonès,352413,4554889,1.241658,41.13189,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003707,Mare Nostrum,Societats Mercantils,"Camí Nou de la Budellera, s/n",43007,431482,Tarragona,Tarragonès,355920,4554321,1.283554,41.12741,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003719,Espallargas,Societats Mercantils,"c. Castellers, 1-3-5-7-9",43002,431482,Tarragona,Tarragonès,353258,4553689,1.252015,41.12124,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003720,Escola El Miracle,Departament d'Educació i Formació Professional,"pl. del Cardenal Arce Ochotorena, s/n",43003,431482,Tarragona,Tarragonès,353913,4552976,1.259978,41.11494,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003732,Institut Pons d'Icart,Departament d'Educació i Formació Professional,"Rambla Vella, 30 B",43003,431482,Tarragona,Tarragonès,353322,4553245,1.25288,41.1172,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003756,Escola Torreforta,Departament d'Educació i Formació Professional,"c. Tortosa, 49",43006,431482,Tarragona,Tarragonès,350331,4553678,1.217168,41.1206,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003768,Escola Els Àngels,Departament d'Educació i Formació Professional,"c. Menorca, 24",43006,431482,Tarragona,Tarragonès,349915,4553806,1.212182,41.12168,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
