Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
430748;Llorenç del Penedès;859;252;1111;0;1111;1
170950;Lloret de Mar;15288;10208;25496;0;25496;3
170963;Llosses, les;88;58;146;0;146;0
081094;Lluçà;102;101;203;0;203;0
171024;Maçanet de Cabrenys;333;351;684;0;684;0
171030;Maçanet de la Selva;2831;1740;4571;0;4571;1
170979;Madremanya;106;63;169;0;169;0
170985;Maià de Montcal;176;77;253;0;253;1
251333;Maials;359;253;612;0;612;0
251305;Maldà;99;150;249;0;249;1
081108;Malgrat de Mar;7483;2677;10160;0;10160;6
081115;Malla;89;22;111;0;111;0
081120;Manlleu;7416;1471;8887;0;8887;3
081136;Manresa;31030;9106;40136;0;40136;35
430764;Marçà;245;247;492;0;492;0
430751;Margalef;52;107;159;0;159;0
082423;Marganell;118;149;267;0;267;1
081141;Martorell;9967;718;10685;0;10685;11
081154;Martorelles;1827;230;2057;0;2057;1
430770;Mas de Barberans;240;175;415;0;415;0
171002;Masarac i Vilarnadal;107;35;142;0;142;0
430786;Masdenverge;441;311;752;0;752;0
081167;Masies de Roda, les;246;50;296;0;296;0
081173;Masies de Voltregà, les;1151;247;1398;0;1398;0
430799;Masllorenç;218;220;438;0;438;1
081189;Masnou, el;9166;1244;10410;0;10410;9
430803;Masó, la;114;46;160;0;160;0
430810;Maspujols;303;167;470;0;470;0
081192;Masquefa;3503;949;4452;0;4452;0
430825;Masroig, el;204;157;361;0;361;0
251312;Massalcoreig;205;72;277;0;277;1
171019;Massanes;309;223;532;0;532;0
251327;Massoteres;79;53;132;0;132;1
081206;Matadepera;3020;413;3433;0;3433;2
081213;Mataró;48140;4856;52996;0;52996;24
081228;Mediona;989;928;1917;0;1917;2
251348;Menàrguens;301;174;475;0;475;0
170998;Meranges;42;61;103;0;103;0
171058;Mieres;144;82;226;0;226;0
430831;Milà, el;69;34;103;0;103;0
251351;Miralcamp;491;159;650;0;650;0
430846;Miravet;272;218;490;0;490;0
081385;Moià;2427;880;3307;0;3307;5
430859;Molar, el;124;101;225;0;225;0
081234;Molins de Rei;9954;1446;11400;0;11400;11
251370;Mollerussa;5488;1496;6984;0;6984;4
171061;Mollet de Peralada;80;39;119;0;119;0
081249;Mollet del Vallès;19238;1619;20857;0;20857;7
171077;Molló;148;321;469;0;469;0
251364;Molsosa, la;33;11;44;0;44;0
081287;Monistrol de Calders;288;201;489;0;489;0
081271;Monistrol de Montserrat;1261;344;1605;0;1605;1
171096;Montagut i Oix;365;166;531;0;531;0
430862;Montblanc;2869;1088;3957;0;3957;4
430884;Montbrió del Camp;1192;514;1706;0;1706;0
081252;Montcada i Reixac;13669;1635;15304;0;15304;5
081304;Montclar;46;41;87;0;87;0
251399;Montellà i Martinet;303;382;685;0;685;0
081311;Montesquiu;447;212;659;0;659;1
251403;Montferrer i Castellbò;449;486;935;0;935;0
430897;Montferri;162;161;323;0;323;0
251386;Montgai;253;139;392;0;392;0
081265;Montgat;4671;605;5276;0;5276;4
081326;Montmajor;166;123;289;0;289;0
081332;Montmaneu;61;60;121;0;121;0
430901;Montmell, el;733;1006;1739;0;1739;0
081350;Montmeló;3294;255;3549;0;3549;1
251425;Montoliu de Lleida;176;69;245;0;245;0
251410;Montoliu de Segarra;80;124;204;0;204;0
251431;Montornès de Segarra;34;47;81;0;81;0
081363;Montornès del Vallès;6089;598;6687;0;6687;1
430918;Mont-ral;79;121;200;0;200;0
171100;Mont-ras;576;231;807;0;807;0
430923;Mont-roig del Camp;5525;11136;16661;0;16661;0
081379;Montseny;151;89;240;0;240;0
430939;Móra d'Ebre;2132;1015;3147;0;3147;1
430944;Móra la Nova;1169;384;1553;0;1553;2
430957;Morell, el;1373;355;1728;0;1728;0
