year,municipality_code,municipality,age_code,age_label,age_order,birthplace_code,birthplace_label,sex_code,sex_label,population,status,source,source_updated,source_url
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,TOTAL,total,F,dones,731,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,TOTAL,total,TOTAL,total,1525,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,CA09,Catalunya,M,homes,272,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,CA09,Catalunya,F,dones,274,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,CA09,Catalunya,TOTAL,total,546,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,RES,resta d'Espanya,M,homes,73,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,RES,resta d'Espanya,F,dones,56,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,RES,resta d'Espanya,TOTAL,total,129,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,ESTR,estranger,M,homes,529,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,ESTR,estranger,F,dones,449,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,ESTR,estranger,TOTAL,total,978,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,TOTAL,total,M,homes,874,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,TOTAL,total,F,dones,779,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y025_029,de 25 a 29 anys,5,TOTAL,total,TOTAL,total,1653,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,CA09,Catalunya,M,homes,322,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,CA09,Catalunya,F,dones,300,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,CA09,Catalunya,TOTAL,total,622,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,RES,resta d'Espanya,M,homes,91,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,RES,resta d'Espanya,F,dones,79,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,RES,resta d'Espanya,TOTAL,total,170,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,ESTR,estranger,M,homes,547,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,ESTR,estranger,F,dones,557,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,ESTR,estranger,TOTAL,total,1104,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,TOTAL,total,M,homes,960,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,TOTAL,total,F,dones,936,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y030_034,de 30 a 34 anys,6,TOTAL,total,TOTAL,total,1896,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y035_039,de 35 a 39 anys,7,CA09,Catalunya,M,homes,395,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y035_039,de 35 a 39 anys,7,CA09,Catalunya,F,dones,369,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y035_039,de 35 a 39 anys,7,CA09,Catalunya,TOTAL,total,764,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
