Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
431233;Reus;52,82;2118,7;8
251832;Rialp;63,30;10,3;7
431248;Riba, la;7,99;71,8;2
431251;Riba-roja d'Ebre;99,14;11,4;1
259059;Ribera d'Ondara;54,47;8,0;13
251850;Ribera d'Urgellet;106,96;9,2;16
171450;Ribes de Freser;41,87;43,9;6
171463;Riells i Viabrea;26,98;171,5;11
431264;Riera de Gaià, la;8,76;209,0;5
251863;Riner;47,10;5,7;5
171479;Ripoll;73,71;146,7;12
081803;Ripollet;4,33;9185,5;1
259139;Riu de Cerdanya;12,34;7,8;1
171485;Riudarenes;47,60;53,0;8
171498;Riudaura;23,60;22,3;5
431270;Riudecanyes;17,10;80,6;3
431286;Riudecols;19,46;65,8;4
171501;Riudellots de la Selva;13,13;161,5;12
431299;Riudoms;32,43;213,6;1
171518;Riumors;6,54;39,4;1
081810;Roca del Vallès, la;36,90;298,7;3
431303;Rocafort de Queralt;8,47;29,0;1
431310;Roda de Berà;16,50;499,4;6
081831;Roda de Ter;2,23;3115,7;3
431325;Rodonyà;8,49;61,0;1
431331;Roquetes;136,92;62,9;2
171523;Roses;45,91;439,4;10
251898;Rosselló;9,92;342,5;6
431346;Rourell, el;2,32;165,9;1
081846;Rubí;32,30;2564,2;1
081859;Rubió;48,00;4,8;3
171539;Rupià;5,29;61,1;3
089019;Rupit i Pruit;47,81;5,8;2
081878;Sabadell;37,79;5943,1;5
081884;Sagàs;44,60;3,4;2
251902;Salàs de Pallars;20,27;18,2;2
081901;Saldes;66,40;4,5;1
171544;Sales de Llierca;35,82;4,6;4
081918;Sallent;65,22;108,0;9
431359;Salomó;12,21;43,0;1
439057;Salou;15,13;2050,1;2
171557;Salt;6,64;5211,3;1
